video_id,video_path,extension,label,label_source,subject_id,subject_id_reason,fps,frame_count,decoded_frame_count,duration_seconds,width,height,is_readable,read_error
d_1,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_1.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_10,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_10.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_100,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_100.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_101,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_101.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_102,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_102.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_103,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_103.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_104,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_104.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_105,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_105.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_106,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_106.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_107,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_107.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_108,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_108.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_109,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_109.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_11,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_11.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_110,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_110.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_111,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_111.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_112,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_112.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_113,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_113.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_114,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_114.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_115,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_115.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_116,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_116.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_117,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_117.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_118,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_118.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_119,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_119.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_12,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_12.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,
d_120,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_120.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_121,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_121.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_122,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_122.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_123,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_123.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
d_124,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_124.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,
