video_id,video_path,extension,label,label_source,subject_id,subject_id_reason,fps,frame_count,decoded_frame_count,duration_seconds,width,height,is_readable,read_error,split
d_10,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_10.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,,train
d_100,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_100.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_101,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_101.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_102,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_102.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_104,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_104.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_105,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_105.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_106,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_106.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_107,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_107.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_11,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_11.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,,train
d_110,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_110.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_111,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_111.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_112,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_112.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_113,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_113.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_116,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_116.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_117,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_117.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_118,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_118.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_12,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_12.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,,train
d_120,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_120.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_121,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_121.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_122,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_122.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_123,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_123.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_124,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_124.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_125,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_125.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_126,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_126.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_127,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_127.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_128,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_128.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_129,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_129.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_13,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_13.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,30.0,300,300,10.0,720,1280,True,,train
d_132,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_132.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_133,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_133.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_135,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_135.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_136,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_136.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_138,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_138.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_139,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_139.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_140,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_140.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_141,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_141.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_142,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_142.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_143,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_143.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_144,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_144.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_147,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_147.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
d_148,data/raw/SUST Driver Drowsiness Dataset/drowsiness/d_148.mp4,.mp4,drowsy,directory:drowsiness,,No subject identifier or documented video-to-driver mapping in path or filename.,25.0,250,250,10.0,720,1280,True,,train
