optimizer,metric,mean,std,n
AdamW,val_loss,0.5095872500215389,0.001107927766687927,3
AdamW,val_accuracy,0.7596899224806201,0.005587851563082219,3
AdamW,val_precision,0.7547753751536067,0.021106987483988156,3
AdamW,val_recall,0.7823565323565324,0.0343782862644715,3
AdamW,val_f1,0.767685757022014,0.0075316667604224926,3
SGD+Momentum,val_loss,0.4972968927557155,0.024348069996731954,3
SGD+Momentum,val_accuracy,0.7716279069767441,0.021676614321360067,3
SGD+Momentum,val_precision,0.7690027833241527,0.04319850960442729,3
SGD+Momentum,val_recall,0.7915140415140415,0.024268839084616523,3
SGD+Momentum,val_f1,0.7791163770467353,0.011110753427922658,3
