seed,parameter_name,shape,adamw_initial_hash,sgd_initial_hash,exact_match,seed_initialization_hash
42,classifier.0.bias,"(32,)",9beb06717d305f3590b5cc727b2712f0ecb7aceb5c4473fd8e40e329a9a32d29,9beb06717d305f3590b5cc727b2712f0ecb7aceb5c4473fd8e40e329a9a32d29,True,
42,classifier.0.weight,"(32, 64)",ea07f1697acdc9194f50d10130fc7fffe890f1167c6f35794f3fc2b35a9bf626,ea07f1697acdc9194f50d10130fc7fffe890f1167c6f35794f3fc2b35a9bf626,True,
42,classifier.3.bias,"(2,)",acae7dcfcb571a83d711f4869a98d2dbd4b18c36abe9c0e009871c9d57f9089a,acae7dcfcb571a83d711f4869a98d2dbd4b18c36abe9c0e009871c9d57f9089a,True,
42,classifier.3.weight,"(2, 32)",2c46e749637dc0d2206b6d0182490b670bb880fb316b88d5b9972efa686eb679,2c46e749637dc0d2206b6d0182490b670bb880fb316b88d5b9972efa686eb679,True,
42,encoder.layers.0.bias,"(16,)",8bdfc2e16acce532b7ca86cf22a7c5368ca482b3f0806616482e4973be19338f,8bdfc2e16acce532b7ca86cf22a7c5368ca482b3f0806616482e4973be19338f,True,
42,encoder.layers.0.weight,"(16, 1, 3, 3)",e45c3288321e42f109f9495254e401efb6456995ce68383fa6248eb7816272e4,e45c3288321e42f109f9495254e401efb6456995ce68383fa6248eb7816272e4,True,
42,encoder.layers.1.bias,"(16,)",f6652bdfd7b1a0ec73c9ffab85cd683f77a2ec1ede19d5f5a7f06865a4b5fbf1,f6652bdfd7b1a0ec73c9ffab85cd683f77a2ec1ede19d5f5a7f06865a4b5fbf1,True,
42,encoder.layers.1.weight,"(16,)",161af222b963c10c540ed951b7e49e563c410aaede1f965ecbcddd3b6773f751,161af222b963c10c540ed951b7e49e563c410aaede1f965ecbcddd3b6773f751,True,
42,encoder.layers.4.bias,"(32,)",c77614259b4c0907060ccb998fb574fe07352622ad840d804e1bdc41dd5bc77b,c77614259b4c0907060ccb998fb574fe07352622ad840d804e1bdc41dd5bc77b,True,
42,encoder.layers.4.weight,"(32, 16, 3, 3)",30e97b08ef12d84deaa814cfbcbc07072dfd8c06cc1261e04979813ddfb1bde1,30e97b08ef12d84deaa814cfbcbc07072dfd8c06cc1261e04979813ddfb1bde1,True,
42,encoder.layers.5.bias,"(32,)",cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,True,
42,encoder.layers.5.weight,"(32,)",3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,True,
42,encoder.layers.8.bias,"(64,)",27b8bcfc5d29789d280a299314ee93d7d77d54ff8fd2e544d4c8970ab5ec39aa,27b8bcfc5d29789d280a299314ee93d7d77d54ff8fd2e544d4c8970ab5ec39aa,True,
42,encoder.layers.8.weight,"(64, 32, 3, 3)",062b6a04052727ad2a8bf26563c752c6186b7cdb37b4ff108317a19e8d1a8eef,062b6a04052727ad2a8bf26563c752c6186b7cdb37b4ff108317a19e8d1a8eef,True,
42,encoder.layers.9.bias,"(64,)",780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,True,
42,encoder.layers.9.weight,"(64,)",28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,True,
42,lstm.bias_hh_l0,"(256,)",0f0bc94408c148e59ad1dc617b2881b6014223ea9fbc1fc9acdb316b33c93d55,0f0bc94408c148e59ad1dc617b2881b6014223ea9fbc1fc9acdb316b33c93d55,True,
42,lstm.bias_ih_l0,"(256,)",305dd14b330b67989ae1df83ec49e63831b7b08d71db9653542f8b3800707e88,305dd14b330b67989ae1df83ec49e63831b7b08d71db9653542f8b3800707e88,True,
42,lstm.weight_hh_l0,"(256, 64)",584441b11b1a887299ac1db130a0d2f9116720df317d68665bb12970106d366e,584441b11b1a887299ac1db130a0d2f9116720df317d68665bb12970106d366e,True,
42,lstm.weight_ih_l0,"(256, 64)",0ba9416597d85c2cc17584c7e594620a36d93500860563c9dcb3345a45f91aba,0ba9416597d85c2cc17584c7e594620a36d93500860563c9dcb3345a45f91aba,True,
42,__PAIR_SUMMARY__,,,,True,7dcb0608294d8b5362f12eb4459cb4f0eacaa31305a09d0983ba697e23c2925c
43,classifier.0.bias,"(32,)",ba58e21c9b03241374d31a93b162b9cbf068b645250c69fb816da835aaac9cd3,ba58e21c9b03241374d31a93b162b9cbf068b645250c69fb816da835aaac9cd3,True,
