seed,optimizer,metric,mean_abs_adjacent_delta,max_abs_adjacent_delta,std
42,AdamW,val_loss,0.030179476157198976,0.13529321365578229,0.05611629200855134
42,AdamW,val_recall,0.13425766941391942,0.989010989010989,0.15078066539181967
42,AdamW,val_f1,0.057300519734781966,0.6794589493551432,0.11252504980552418
42,AdamW,predicted_drowsy_fraction,0.13315406976744187,0.9706976744186048,0.14083308324611113
42,SGD+Momentum,val_loss,0.025675802743973672,0.09628471130548522,0.053646339293156146
42,SGD+Momentum,val_recall,0.20730527334300922,0.8626373626373627,0.16974750272723732
42,SGD+Momentum,val_f1,0.07455931125316934,0.46002398968102914,0.08605769289966743
42,SGD+Momentum,predicted_drowsy_fraction,0.2151031154014919,0.9018604651162792,0.20519417870354037
43,AdamW,val_loss,0.02484083387572805,0.08459577161212306,0.055552878726154505
43,AdamW,val_recall,0.1526806526806527,0.706959706959707,0.164790994657267
43,AdamW,val_f1,0.04993680267304448,0.6388084402151427,0.12797165166132338
43,AdamW,predicted_drowsy_fraction,0.16329809725158562,0.6162790697674418,0.16181576046019486
43,SGD+Momentum,val_loss,0.026716081894806107,0.1644650311802709,0.06437701233013673
43,SGD+Momentum,val_recall,0.18195572543398636,1.0,0.26979540512003114
43,SGD+Momentum,val_f1,0.07928221400877528,0.6764339152119699,0.22252517305710823
43,SGD+Momentum,predicted_drowsy_fraction,0.20015166835187054,1.0,0.2429562935728175
44,AdamW,val_loss,0.032855236704645886,0.1457446001574051,0.05570975642779208
44,AdamW,val_recall,0.1860936682365254,0.9459706959706959,0.2069592627205535
44,AdamW,val_f1,0.0983996761163973,0.6602027569277251,0.1669732387226414
44,AdamW,predicted_drowsy_fraction,0.17565891472868217,0.9144186046511629,0.1720237485972804
44,SGD+Momentum,val_loss,0.04116677315311912,0.18017831536226503,0.06880629644053278
44,SGD+Momentum,val_recall,0.26545505776275,1.0,0.25378848428400225
44,SGD+Momentum,val_f1,0.13608411830532077,0.6760475297060663,0.19453967543182557
44,SGD+Momentum,predicted_drowsy_fraction,0.2649660107334526,1.0,0.2279309152238793
