sample_id,video_id,split,label,timestamp_sec,selection_reasons,comparison_image_path,raw_resize_face_complete,square0_face_complete,square10_face_complete,square20_face_complete,raw_resize_distortion_ok,square0_context_ok,square10_context_ok,square20_context_ok,square0_padding_ok,square10_padding_ok,square20_padding_ok,preferred_context_crop,review_decision,review_note
train_n_889_t9p0,n_889,train,not_drowsy,9.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_889_t9p0.jpg,,,,,,,,,,,,,,
val_d_852_t9p0,d_852,val,drowsy,9.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_d_852_t9p0.jpg,,,,,,,,,,,,,,
val_n_835_t3p0,n_835,val,not_drowsy,3.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_835_t3p0.jpg,,,,,,,,,,,,,,
val_n_835_t5p0,n_835,val,not_drowsy,5.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_835_t5p0.jpg,,,,,,,,,,,,,,
val_n_835_t7p0,n_835,val,not_drowsy,7.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_835_t7p0.jpg,,,,,,,,,,,,,,
val_n_835_t9p0,n_835,val,not_drowsy,9.0,YUNET_ONLY,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_835_t9p0.jpg,,,,,,,,,,,,,,
train_d_75_t3p0,d_75,train,drowsy,3.0,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_75_t3p0.jpg,,,,,,,,,,,,,,
train_n_278_t9p0,n_278,train,not_drowsy,9.0,LARGE_EAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_278_t9p0.jpg,,,,,,,,,,,,,,
train_n_461_t9p0,n_461,train,not_drowsy,9.0,LARGE_EAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_461_t9p0.jpg,,,,,,,,,,,,,,
train_n_883_t7p0,n_883,train,not_drowsy,7.0,LARGE_EAR_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_883_t7p0.jpg,,,,,,,,,,,,,,
val_d_682_t1p0,d_682,val,drowsy,1.0,LARGE_EAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_d_682_t1p0.jpg,,,,,,,,,,,,,,
val_d_852_t1p0,d_852,val,drowsy,1.0,LARGE_MAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_d_852_t1p0.jpg,,,,,,,,,,,,,,
val_d_852_t3p0,d_852,val,drowsy,3.0,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_d_852_t3p0.jpg,,,,,,,,,,,,,,
val_n_241_t9p0,n_241,val,not_drowsy,9.0,LARGE_CROP_DIFF;LARGE_MAR_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_241_t9p0.jpg,,,,,,,,,,,,,,
val_n_658_t5p0,n_658,val,not_drowsy,5.0,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_658_t5p0.jpg,,,,,,,,,,,,,,
val_n_658_t9p0,n_658,val,not_drowsy,9.0,LARGE_LANDMARK_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_658_t9p0.jpg,,,,,,,,,,,,,,
train_d_25_t1p0,d_25,train,drowsy,1.0,HOG_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_25_t1p0.jpg,,,,,,,,,,,,,,
train_d_25_t3p0,d_25,train,drowsy,3.0,HOG_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_25_t3p0.jpg,,,,,,,,,,,,,,
train_d_25_t5p0,d_25,train,drowsy,5.0,HOG_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_25_t5p0.jpg,,,,,,,,,,,,,,
train_d_5_t3p0,d_5,train,drowsy,3.0,LARGE_CROP_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_5_t3p0.jpg,,,,,,,,,,,,,,
train_d_5_t5p0,d_5,train,drowsy,5.0,YUNET_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_5_t5p0.jpg,,,,,,,,,,,,,,
train_d_75_t1p0,d_75,train,drowsy,1.0,HOG_CROP_PADDING;YUNET_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_75_t1p0.jpg,,,,,,,,,,,,,,
train_d_75_t5p0,d_75,train,drowsy,5.0,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_75_t5p0.jpg,,,,,,,,,,,,,,
train_d_75_t7p0,d_75,train,drowsy,7.0,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_75_t7p0.jpg,,,,,,,,,,,,,,
train_d_75_t9p0,d_75,train,drowsy,9.0,LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_75_t9p0.jpg,,,,,,,,,,,,,,
train_d_936_t9p0,d_936,train,drowsy,9.0,LARGE_PITCH_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_936_t9p0.jpg,,,,,,,,,,,,,,
train_n_461_t1p0,n_461,train,not_drowsy,1.0,LARGE_YAW_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_461_t1p0.jpg,,,,,,,,,,,,,,
train_n_883_t1p0,n_883,train,not_drowsy,1.0,LARGE_YAW_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_883_t1p0.jpg,,,,,,,,,,,,,,
val_n_241_t3p0,n_241,val,not_drowsy,3.0,LARGE_CROP_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_241_t3p0.jpg,,,,,,,,,,,,,,
val_n_241_t5p0,n_241,val,not_drowsy,5.0,LARGE_CROP_DIFF;LARGE_PITCH_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_241_t5p0.jpg,,,,,,,,,,,,,,
val_n_640_t1p0,n_640,val,not_drowsy,1.0,LARGE_EAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_640_t1p0.jpg,,,,,,,,,,,,,,
val_n_640_t7p0,n_640,val,not_drowsy,7.0,LARGE_LANDMARK_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_n_640_t7p0.jpg,,,,,,,,,,,,,,
train_d_620_t9p0,d_620,train,drowsy,9.0,NORMAL_REFERENCE,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_620_t9p0.jpg,,,,,,,,,,,,,,
train_d_936_t1p0,d_936,train,drowsy,1.0,NORMAL_REFERENCE,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_d_936_t1p0.jpg,,,,,,,,,,,,,,
train_n_278_t3p0,n_278,train,not_drowsy,3.0,NORMAL_REFERENCE,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_278_t3p0.jpg,,,,,,,,,,,,,,
train_n_889_t3p0,n_889,train,not_drowsy,3.0,NORMAL_REFERENCE,outputs/preprocessing_v2/context_crop_audit/visual_samples/train_n_889_t3p0.jpg,,,,,,,,,,,,,,
val_d_280_t5p0,d_280,val,drowsy,5.0,NORMAL_REFERENCE,outputs/preprocessing_v2/context_crop_audit/visual_samples/val_d_280_t5p0.jpg,,,,,,,,,,,,,,
