sample_id,video_id,split,label,timestamp_sec,source_frame_index,frame_width,frame_height,yunet_bbox_x1,yunet_bbox_y1,yunet_bbox_x2,yunet_bbox_y2,yunet_bbox_width,yunet_bbox_height,yunet_bbox_aspect_ratio,raw_crop_width,raw_crop_height,raw_distortion_ratio,raw_padding_left,raw_padding_top,raw_padding_right,raw_padding_bottom,raw_padding_fraction,raw_padding_required,raw_face_area_fraction,square0_x1,square0_y1,square0_x2,square0_y2,square0_side,square0_padding_left,square0_padding_top,square0_padding_right,square0_padding_bottom,square0_padding_fraction,square0_padding_required,square0_face_area_fraction,square0_face_width_fraction,square0_face_height_fraction,square10_x1,square10_y1,square10_x2,square10_y2,square10_side,square10_padding_left,square10_padding_top,square10_padding_right,square10_padding_bottom,square10_padding_fraction,square10_padding_required,square10_face_area_fraction,square10_face_width_fraction,square10_face_height_fraction,square20_x1,square20_y1,square20_x2,square20_y2,square20_side,square20_padding_left,square20_padding_top,square20_padding_right,square20_padding_bottom,square20_padding_fraction,square20_padding_required,square20_face_area_fraction,square20_face_width_fraction,square20_face_height_fraction
train_d_438_t1p0,d_438,train,drowsy,1.0,30,720,1280,323,283,576,609,253,326,0.7760736196319018,253,326,1.2885375494071147,0,0,0,0,0.0,False,1.0,286,283,612,609,326,0,0,0,0,0.0,False,0.7760736196319018,0.7760736196319018,1.0,253,250,645,642,392,0,0,0,0,0.0,False,0.5367425031236984,0.6454081632653061,0.8316326530612245,221,217,678,674,457,0,0,0,0,0.0,False,0.3949169016849494,0.5536105032822757,0.7133479212253829
train_n_908_t1p0,n_908,train,not_drowsy,1.0,30,720,1280,202,246,426,581,224,335,0.6686567164179105,224,335,1.4955357142857142,0,0,0,0,0.0,False,1.0,146,246,481,581,335,0,0,0,0,0.0,False,0.6686567164179105,0.6686567164179105,1.0,113,212,515,614,402,0,0,0,0,0.0,False,0.46434494195688225,0.5572139303482587,0.8333333333333334,79,179,548,648,469,0,0,0,0,0.0,False,0.3411513859275053,0.47761194029850745,0.7142857142857143
val_d_796_t1p0,d_796,val,drowsy,1.0,30,720,1280,202,264,499,669,297,405,0.7333333333333333,297,405,1.3636363636363635,0,0,0,0,0.0,False,1.0,148,264,553,669,405,0,0,0,0,0.0,False,0.7333333333333333,0.7333333333333333,1.0,107,223,593,709,486,0,0,0,0,0.0,False,0.5092592592592593,0.6111111111111112,0.8333333333333334,67,183,634,750,567,0,0,0,0,0.0,False,0.3741496598639456,0.5238095238095238,0.7142857142857143
train_d_438_t3p0,d_438,train,drowsy,3.0,90,720,1280,328,283,591,617,263,334,0.7874251497005988,263,334,1.2699619771863118,0,0,0,0,0.0,False,1.0,292,283,626,617,334,0,0,0,0,0.0,False,0.7874251497005988,0.7874251497005988,1.0,259,249,660,650,401,0,0,0,0,0.0,False,0.546277697278002,0.655860349127182,0.8329177057356608,225,216,693,684,468,0,0,0,0,0.0,False,0.4010610709328658,0.561965811965812,0.7136752136752137
train_n_908_t3p0,n_908,train,not_drowsy,3.0,90,720,1280,202,255,445,590,243,335,0.7253731343283583,243,335,1.3786008230452675,0,0,0,0,0.0,False,1.0,156,255,491,590,335,0,0,0,0,0.0,False,0.7253731343283583,0.7253731343283583,1.0,122,221,524,623,402,0,0,0,0,0.0,False,0.503731343283582,0.6044776119402985,0.8333333333333334,89,188,558,657,469,0,0,0,0,0.0,False,0.3700883338409991,0.5181236673773987,0.7142857142857143
val_d_796_t3p0,d_796,val,drowsy,3.0,90,720,1280,200,257,494,672,294,415,0.708433734939759,294,415,1.41156462585034,0,0,0,0,0.0,False,1.0,139,257,554,672,415,0,0,0,0,0.0,False,0.708433734939759,0.708433734939759,1.0,98,215,596,713,498,0,0,0,0,0.0,False,0.4919678714859438,0.5903614457831325,0.8333333333333334,56,174,637,755,581,0,0,0,0,0.0,False,0.3614457831325301,0.5060240963855421,0.7142857142857143
val_n_835_t3p0,n_835,val,not_drowsy,3.0,90,720,1280,258,640,442,883,184,243,0.757201646090535,184,243,1.3206521739130435,0,0,0,0,0.0,False,1.0,228,640,471,883,243,0,0,0,0,0.0,False,0.757201646090535,0.757201646090535,1.0,204,615,496,907,292,0,0,0,0,0.0,False,0.5243948207918934,0.6301369863013698,0.8321917808219178,179,591,520,932,341,0,0,0,0,0.0,False,0.38451681702083745,0.5395894428152492,0.7126099706744868
train_d_438_t5p0,d_438,train,drowsy,5.0,150,720,1280,332,274,590,611,258,337,0.7655786350148368,258,337,1.306201550387597,0,0,0,0,0.0,False,1.0,292,274,629,611,337,0,0,0,0,0.0,False,0.7655786350148368,0.7655786350148368,1.0,258,240,663,645,405,0,0,0,0,0.0,False,0.5300777320530407,0.6370370370370371,0.8320987654320988,225,206,697,678,472,0,0,0,0,0.0,False,0.39027039643780526,0.5466101694915254,0.7139830508474576
train_n_908_t5p0,n_908,train,not_drowsy,5.0,150,720,1280,191,240,425,599,234,359,0.6518105849582173,234,359,1.5341880341880343,0,0,0,0,0.0,False,1.0,128,240,487,599,359,0,0,0,0,0.0,False,0.6518105849582173,0.6518105849582173,1.0,92,204,523,635,431,0,0,0,0,0.0,False,0.4522262477053849,0.54292343387471,0.8329466357308585,56,168,559,671,503,0,0,0,0,0.0,False,0.332027714429131,0.46520874751491054,0.7137176938369781
val_d_796_t5p0,d_796,val,drowsy,5.0,150,720,1280,230,270,527,679,297,409,0.726161369193154,297,409,1.3771043771043772,0,0,0,0,0.0,False,1.0,174,270,583,679,409,0,0,0,0,0.0,False,0.726161369193154,0.726161369193154,1.0,133,229,624,720,491,0,0,0,0,0.0,False,0.5038679945744376,0.604887983706721,0.8329938900203666,92,188,665,761,573,0,0,0,0,0.0,False,0.36997341081658947,0.518324607329843,0.7137870855148342
