sample_id,video_id,split,label,timestamp_sec,source_frame_index,source_fps,hog_success,hog_detection_count,hog_ms,yunet_attempted,yunet_success,yunet_detection_count,yunet_confidence,yunet_ms,detector_source,bbox_x1,bbox_y1,bbox_x2,bbox_y2,face_valid,landmark_success,landmark_valid,landmark_ms,ear_left,ear_right,ear_mean,ear_valid,mar,mar_valid,pitch,yaw,roll,head_pose_valid,head_pose_ms,ear_mar_ms,geometry_valid,suspicious_flag,suspicious_reason,failure_reason,total_ms
train_d_438_t1p0,d_438,train,drowsy,1.0,30,30.0,True,1,388.7436999939382,False,False,0,,0.0,HOG,290,320,558,588,True,True,True,3.2682000019121915,0.20761369963434992,0.22453350661577934,0.21607360312506463,True,0.04352147171277173,True,-171.43558651797,32.52132127930374,9.4342220557006,True,1.0824999772012234,0.17529999604448676,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,494.33789998875
train_n_908_t1p0,n_908,train,not_drowsy,1.0,30,30.0,True,1,358.733500004746,False,False,0,,0.0,HOG,141,290,410,559,True,True,True,3.127799980575219,0.3246098277204207,0.2840175669161769,0.3043136973182988,True,0.1226144611408476,True,-171.12454482776732,32.803854542308464,7.086164894704914,True,0.5812000017613173,0.10979999206028879,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,450.11050000903197
val_d_796_t1p0,d_796,val,drowsy,1.0,30,30.01,True,1,359.0361000096891,False,False,0,,0.0,HOG,204,290,590,676,True,True,True,3.1238000083249062,0.18397236258578115,0.22157424579229554,0.20277330418903833,True,0.05274570154347656,True,179.81772984853535,-24.115152755813508,-7.463887210347212,True,0.6346000009216368,0.10730000212788582,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,434.82520000543445
val_n_835_t1p0,n_835,val,not_drowsy,1.0,30,30.0,False,0,365.66229999880306,True,False,0,,36.960900004487485,FACE_NOT_FOUND,,,,,False,False,False,,,,,False,,False,,,,False,,,False,False,,YUNET_FACE_NOT_FOUND,487.388599984115
train_d_438_t3p0,d_438,train,drowsy,3.0,90,30.0,True,1,356.849300005706,False,False,0,,0.0,HOG,290,320,558,588,True,True,True,3.1909999961499125,0.28713930346059685,0.291549070869065,0.2893441871648309,True,0.04001450213119569,True,-163.55265325902002,40.512428873417036,14.068800712310955,True,0.5909999890718609,0.1112000027205795,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,497.1854999894276
train_n_908_t3p0,n_908,train,not_drowsy,3.0,90,30.0,True,1,369.54749998403713,False,False,0,,0.0,HOG,171,290,439,559,True,True,True,3.132300014840439,0.3481990147139345,0.30734258908752116,0.3277708019007278,True,0.04077921595448145,True,-168.67967111047506,31.014323634601514,11.55582078787606,True,0.5770999996457249,0.10549998842179775,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,511.9379000097979
val_d_796_t3p0,d_796,val,drowsy,3.0,90,30.01,True,1,355.21199999493547,False,False,0,,0.0,HOG,204,290,590,676,True,True,True,3.0740000074729323,0.15103951816446837,0.16650230107770145,0.15877090962108492,True,0.022676685475084925,True,178.30900761506888,-22.60000360720877,-6.611340516617124,True,0.6519999878946692,0.10689999908208847,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,460.43370000552386
val_n_835_t3p0,n_835,val,not_drowsy,3.0,90,30.0,False,0,363.28900000080466,True,True,1,0.9286975264549255,36.002799984999,YUNET_FALLBACK,258,640,442,883,True,True,True,3.112700011115521,0.46550384200494754,0.5286651458191589,0.4970844939120532,True,0.4567463418075224,True,176.2002629319851,-37.35051404569549,3.581895579167111,True,0.5348999984562397,0.10809997911565006,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,524.9477999750525
train_d_438_t5p0,d_438,train,drowsy,5.0,150,30.0,True,1,361.50759999873117,False,False,0,,0.0,HOG,290,320,558,588,True,True,True,3.5706000053323805,0.3240563530633214,0.3136376675022165,0.31884701028276896,True,0.045216594355558304,True,-166.63421954889267,38.71809766508924,11.330051128109249,True,0.6180000200401992,0.11520000407472253,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,557.284599984996
train_n_908_t5p0,n_908,train,not_drowsy,5.0,150,30.0,True,1,365.7070999906864,False,False,0,,0.0,HOG,141,290,410,559,True,True,True,3.17510002059862,0.34289198373298724,0.29069767441860467,0.3167948290757959,True,0.013328595119490277,True,-169.0645166953902,32.65317787715794,8.232295445946011,True,0.6479000148829073,0.11190000805072486,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_MAR_EXTREME;SUSPICIOUS_LARGE_POSE,,562.7500000118744
val_d_796_t5p0,d_796,val,drowsy,5.0,150,30.01,True,1,359.6573999966495,False,False,0,,0.0,HOG,241,313,563,635,True,True,True,3.192000003764406,0.2773489701174899,0.3412874588451467,0.3093182144813183,True,0.22416551483579322,True,-175.3560814960075,-31.049519595602224,-6.224231162915528,True,0.7845000072848052,0.1112000027205795,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,522.7476000145543
val_n_835_t5p0,n_835,val,not_drowsy,5.0,150,30.0,False,0,453.35480000358075,True,True,1,0.925311267375946,45.6930999935139,YUNET_FALLBACK,263,644,443,890,True,True,True,3.1373999954666942,0.4202365053605314,0.5131929968570512,0.46671475110879135,True,0.29674797480707044,True,174.84486565713723,-40.643527913320696,6.013253263972288,True,0.5299999902490526,0.10879998444579542,True,True,LANDMARK_OUTSIDE_BBOX;SUSPICIOUS_LARGE_POSE,,668.6305000039283
