sample_id,video_id,split,label,timestamp_sec,category,comparison_image_path,hog_bbox_ok,yunet_bbox_ok,hog_full_face_crop_ok,yunet_full_face_crop_ok,hog_landmarks_ok,yunet_landmarks_ok,hog_eyes_ok,yunet_eyes_ok,hog_mouth_ok,yunet_mouth_ok,hog_pose_axis_ok,yunet_pose_axis_ok,preferred_detector,manual_decision,review_note
train_d_438_t1p0,d_438,train,drowsy,1.0,both_success,visual_samples/both_success/train_d_438_t1p0.jpg,,,,,,,,,,,,,,,
train_n_908_t1p0,n_908,train,not_drowsy,1.0,both_success,visual_samples/both_success/train_n_908_t1p0.jpg,,,,,,,,,,,,,,,
val_d_796_t1p0,d_796,val,drowsy,1.0,both_success,visual_samples/both_success/val_d_796_t1p0.jpg,,,,,,,,,,,,,,,
val_n_835_t1p0,n_835,val,not_drowsy,1.0,both_failed,visual_samples/both_failed/val_n_835_t1p0.jpg,,,,,,,,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,both_success,visual_samples/both_success/train_d_438_t3p0.jpg,,,,,,,,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,large_ear_difference,visual_samples/large_ear_difference/train_d_438_t3p0.jpg,,,,,,,,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_438_t3p0.jpg,,,,,,,,,,,,,,,
train_n_908_t3p0,n_908,train,not_drowsy,3.0,both_success,visual_samples/both_success/train_n_908_t3p0.jpg,,,,,,,,,,,,,,,
val_d_796_t3p0,d_796,val,drowsy,3.0,both_success,visual_samples/both_success/val_d_796_t3p0.jpg,,,,,,,,,,,,,,,
val_n_835_t3p0,n_835,val,not_drowsy,3.0,yunet_only,visual_samples/yunet_only/val_n_835_t3p0.jpg,,,,,,,,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,both_success,visual_samples/both_success/train_d_438_t5p0.jpg,,,,,,,,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,large_mar_difference,visual_samples/large_mar_difference/train_d_438_t5p0.jpg,,,,,,,,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_438_t5p0.jpg,,,,,,,,,,,,,,,
train_n_908_t5p0,n_908,train,not_drowsy,5.0,both_success,visual_samples/both_success/train_n_908_t5p0.jpg,,,,,,,,,,,,,,,
val_d_796_t5p0,d_796,val,drowsy,5.0,both_success,visual_samples/both_success/val_d_796_t5p0.jpg,,,,,,,,,,,,,,,
val_d_796_t5p0,d_796,val,drowsy,5.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_d_796_t5p0.jpg,,,,,,,,,,,,,,,
val_n_835_t5p0,n_835,val,not_drowsy,5.0,yunet_only,visual_samples/yunet_only/val_n_835_t5p0.jpg,,,,,,,,,,,,,,,
train_d_438_t7p0,d_438,train,drowsy,7.0,both_success,visual_samples/both_success/train_d_438_t7p0.jpg,,,,,,,,,,,,,,,
train_d_438_t7p0,d_438,train,drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/train_d_438_t7p0.jpg,,,,,,,,,,,,,,,
train_n_908_t7p0,n_908,train,not_drowsy,7.0,both_success,visual_samples/both_success/train_n_908_t7p0.jpg,,,,,,,,,,,,,,,
val_d_796_t7p0,d_796,val,drowsy,7.0,both_success,visual_samples/both_success/val_d_796_t7p0.jpg,,,,,,,,,,,,,,,
val_d_796_t7p0,d_796,val,drowsy,7.0,large_ear_difference,visual_samples/large_ear_difference/val_d_796_t7p0.jpg,,,,,,,,,,,,,,,
val_n_835_t7p0,n_835,val,not_drowsy,7.0,yunet_only,visual_samples/yunet_only/val_n_835_t7p0.jpg,,,,,,,,,,,,,,,
train_d_438_t9p0,d_438,train,drowsy,9.0,both_success,visual_samples/both_success/train_d_438_t9p0.jpg,,,,,,,,,,,,,,,
train_d_438_t9p0,d_438,train,drowsy,9.0,large_mar_difference,visual_samples/large_mar_difference/train_d_438_t9p0.jpg,,,,,,,,,,,,,,,
train_n_908_t9p0,n_908,train,not_drowsy,9.0,both_success,visual_samples/both_success/train_n_908_t9p0.jpg,,,,,,,,,,,,,,,
val_d_796_t9p0,d_796,val,drowsy,9.0,both_success,visual_samples/both_success/val_d_796_t9p0.jpg,,,,,,,,,,,,,,,
val_n_835_t9p0,n_835,val,not_drowsy,9.0,yunet_only,visual_samples/yunet_only/val_n_835_t9p0.jpg,,,,,,,,,,,,,,,
train_d_5_t3p0,d_5,train,drowsy,3.0,both_success,visual_samples/both_success/train_d_5_t3p0.jpg,,,,,,,,,,,,,,,
train_d_5_t3p0,d_5,train,drowsy,3.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_d_5_t3p0.jpg,,,,,,,,,,,,,,,
train_n_290_t3p0,n_290,train,not_drowsy,3.0,both_success,visual_samples/both_success/train_n_290_t3p0.jpg,,,,,,,,,,,,,,,
train_n_290_t3p0,n_290,train,not_drowsy,3.0,full_face_crop_difference,visual_samples/full_face_crop_difference/train_n_290_t3p0.jpg,,,,,,,,,,,,,,,
val_d_396_t3p0,d_396,val,drowsy,3.0,both_success,visual_samples/both_success/val_d_396_t3p0.jpg,,,,,,,,,,,,,,,
val_d_396_t3p0,d_396,val,drowsy,3.0,large_ear_difference,visual_samples/large_ear_difference/val_d_396_t3p0.jpg,,,,,,,,,,,,,,,
val_d_396_t3p0,d_396,val,drowsy,3.0,full_face_crop_difference,visual_samples/full_face_crop_difference/val_d_396_t3p0.jpg,,,,,,,,,,,,,,,
val_n_241_t3p0,n_241,val,not_drowsy,3.0,both_success,visual_samples/both_success/val_n_241_t3p0.jpg,,,,,,,,,,,,,,,
