video_id,sample_count,landmark_outlier_count,ear_outlier_count,mar_outlier_count,pose_outlier_count,crop_outlier_count,total_outlier_flags
d_75,5,3,0,1,4,3,16
n_241,5,0,0,1,1,4,6
n_640,5,1,1,0,2,0,6
d_25,5,0,0,0,0,5,5
n_658,5,2,0,1,1,0,5
d_5,5,0,0,0,0,3,4
d_852,5,2,0,2,0,0,4
d_488,5,0,0,1,2,0,3
d_682,5,0,2,0,0,1,3
n_461,5,0,1,0,2,0,3
n_474,5,0,0,2,1,0,3
n_883,5,0,1,0,2,0,3
d_438,5,0,0,0,0,2,2
d_609,5,0,2,0,0,0,2
n_996,5,0,0,0,0,2,2
d_44,5,0,0,0,1,0,1
d_936,5,0,0,0,1,0,1
n_153,5,0,0,0,0,1,1
n_196,5,0,0,0,0,1,1
n_278,5,0,1,0,0,0,1
