review_order,sample_id,video_id,split,label,timestamp_sec,hog_success,yunet_success,bbox_iou,normalized_landmark_diff,ear_hog,ear_yunet,ear_abs_diff,mar_hog,mar_yunet,mar_abs_diff,pitch_circular_diff,yaw_circular_diff,roll_circular_diff,hog_crop_padding_fraction,yunet_crop_padding_fraction,crop_mean_abs_diff,selection_reasons,comparison_image_path,review_sheet
1,train_n_889_t9p0,n_889,train,not_drowsy,9.0,False,True,,,,0.3206590285308176,,,0.06866141933156814,,,,,,0.0,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/01_train_n_889_t9p0.jpg,review_sheet_01_detector_failures.jpg
2,val_d_430_t5p0,d_430,val,drowsy,5.0,True,False,,,0.3955996280229504,,,0.04040265062329025,,,,,,0.0,,,HOG_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/02_val_d_430_t5p0.jpg,review_sheet_01_detector_failures.jpg
3,val_d_852_t9p0,d_852,val,drowsy,9.0,False,True,,,,0.40733802982054823,,,0.3855478526656541,,,,,,0.006849315068493178,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/03_val_d_852_t9p0.jpg,review_sheet_01_detector_failures.jpg
4,val_n_835_t1p0,n_835,val,not_drowsy,1.0,False,False,,,,,,,,,,,,,,,BOTH_FAILED,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/04_val_n_835_t1p0.jpg,review_sheet_01_detector_failures.jpg
5,val_n_835_t3p0,n_835,val,not_drowsy,3.0,False,True,,,,0.4970844939120532,,,0.4567463418075224,,,,,,0.0,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/05_val_n_835_t3p0.jpg,review_sheet_01_detector_failures.jpg
6,val_n_835_t5p0,n_835,val,not_drowsy,5.0,False,True,,,,0.46671475110879135,,,0.29674797480707044,,,,,,0.0,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/06_val_n_835_t5p0.jpg,review_sheet_01_detector_failures.jpg
7,val_n_835_t7p0,n_835,val,not_drowsy,7.0,False,True,,,,0.461447337300142,,,0.4755400373663937,,,,,,0.0,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/07_val_n_835_t7p0.jpg,review_sheet_01_detector_failures.jpg
8,val_n_835_t9p0,n_835,val,not_drowsy,9.0,False,True,,,,0.4186345452504087,,,0.3455393222146242,,,,,,0.0,,YUNET_ONLY,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/08_val_n_835_t9p0.jpg,review_sheet_01_detector_failures.jpg
9,val_n_996_t1p0,n_996,val,not_drowsy,1.0,False,False,,,,,,,,,,,,,,,BOTH_FAILED,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/09_val_n_996_t1p0.jpg,review_sheet_01_detector_failures.jpg
10,train_d_75_t3p0,d_75,train,drowsy,3.0,True,True,0.6347522277069043,0.24866615063400993,0.3618898525947242,0.39615944869186964,0.034269596097145416,0.10181283641337463,0.5785779805329395,0.4767651441195649,12.441999076711568,2.6684629531019937,17.403727575976347,0.0,0.0,0.14962562918663025,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_ROLL_DIFF,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/10_train_d_75_t3p0.jpg,review_sheet_02_landmark_ear_mar.jpg
