review_order,sample_id,video_id,timestamp_sec,comparison_image_path,selection_reasons,hog_bbox_ok,yunet_bbox_ok,hog_crop_ok,yunet_crop_ok,hog_landmarks_ok,yunet_landmarks_ok,hog_eyes_ok,yunet_eyes_ok,hog_mouth_ok,yunet_mouth_ok,hog_pose_ok,yunet_pose_ok,preferred_detector,review_decision,review_note
1,train_n_889_t9p0,n_889,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/01_train_n_889_t9p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
2,val_d_430_t5p0,d_430,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/02_val_d_430_t5p0.jpg,HOG_ONLY,,,,,,,,,,,,,,,
3,val_d_852_t9p0,d_852,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/03_val_d_852_t9p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
4,val_n_835_t1p0,n_835,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/04_val_n_835_t1p0.jpg,BOTH_FAILED,,,,,,,,,,,,,,,
5,val_n_835_t3p0,n_835,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/05_val_n_835_t3p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
6,val_n_835_t5p0,n_835,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/06_val_n_835_t5p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
7,val_n_835_t7p0,n_835,7.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/07_val_n_835_t7p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
8,val_n_835_t9p0,n_835,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/08_val_n_835_t9p0.jpg,YUNET_ONLY,,,,,,,,,,,,,,,
9,val_n_996_t1p0,n_996,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/09_val_n_996_t1p0.jpg,BOTH_FAILED,,,,,,,,,,,,,,,
10,train_d_75_t3p0,d_75,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/10_train_d_75_t3p0.jpg,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_ROLL_DIFF,,,,,,,,,,,,,,,
11,train_n_278_t9p0,n_278,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/11_train_n_278_t9p0.jpg,LARGE_EAR_DIFF,,,,,,,,,,,,,,,
12,train_n_461_t9p0,n_461,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/12_train_n_461_t9p0.jpg,LARGE_EAR_DIFF,,,,,,,,,,,,,,,
13,train_n_883_t7p0,n_883,7.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/13_train_n_883_t7p0.jpg,LARGE_EAR_DIFF;LARGE_ROLL_DIFF,,,,,,,,,,,,,,,
14,val_d_682_t1p0,d_682,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/14_val_d_682_t1p0.jpg,LARGE_EAR_DIFF,,,,,,,,,,,,,,,
15,val_d_852_t1p0,d_852,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/15_val_d_852_t1p0.jpg,LARGE_MAR_DIFF,,,,,,,,,,,,,,,
16,val_d_852_t3p0,d_852,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/16_val_d_852_t3p0.jpg,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF,,,,,,,,,,,,,,,
17,val_n_241_t9p0,n_241,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/17_val_n_241_t9p0.jpg,LARGE_CROP_DIFF;LARGE_MAR_DIFF,,,,,,,,,,,,,,,
18,val_n_658_t5p0,n_658,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/18_val_n_658_t5p0.jpg,LARGE_LANDMARK_DIFF;LARGE_MAR_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF,,,,,,,,,,,,,,,
19,val_n_658_t9p0,n_658,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/19_val_n_658_t9p0.jpg,LARGE_LANDMARK_DIFF,,,,,,,,,,,,,,,
20,train_d_25_t1p0,d_25,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/20_train_d_25_t1p0.jpg,HOG_CROP_PADDING,,,,,,,,,,,,,,,
21,train_d_25_t3p0,d_25,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/21_train_d_25_t3p0.jpg,HOG_CROP_PADDING,,,,,,,,,,,,,,,
22,train_d_25_t5p0,d_25,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/22_train_d_25_t5p0.jpg,HOG_CROP_PADDING,,,,,,,,,,,,,,,
23,train_d_5_t3p0,d_5,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/23_train_d_5_t3p0.jpg,LARGE_CROP_DIFF;YUNET_CROP_PADDING,,,,,,,,,,,,,,,
24,train_d_5_t5p0,d_5,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/24_train_d_5_t5p0.jpg,YUNET_CROP_PADDING,,,,,,,,,,,,,,,
25,train_d_75_t1p0,d_75,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/25_train_d_75_t1p0.jpg,HOG_CROP_PADDING;YUNET_CROP_PADDING,,,,,,,,,,,,,,,
26,train_d_75_t5p0,d_75,5.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/26_train_d_75_t5p0.jpg,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;LARGE_YAW_DIFF,,,,,,,,,,,,,,,
27,train_d_75_t7p0,d_75,7.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/27_train_d_75_t7p0.jpg,LARGE_LANDMARK_DIFF;LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,,,,,,,,,,,,,,,
28,train_d_75_t9p0,d_75,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/28_train_d_75_t9p0.jpg,LARGE_PITCH_DIFF;LARGE_ROLL_DIFF;YUNET_CROP_PADDING,,,,,,,,,,,,,,,
29,train_d_936_t9p0,d_936,9.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/29_train_d_936_t9p0.jpg,LARGE_PITCH_DIFF,,,,,,,,,,,,,,,
30,train_n_461_t1p0,n_461,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/30_train_n_461_t1p0.jpg,LARGE_YAW_DIFF,,,,,,,,,,,,,,,
31,train_n_883_t1p0,n_883,1.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/31_train_n_883_t1p0.jpg,LARGE_YAW_DIFF,,,,,,,,,,,,,,,
32,val_n_241_t3p0,n_241,3.0,outputs/preprocessing_v2/detector_primary_comparison/review_pack/selected_images/32_val_n_241_t3p0.jpg,LARGE_CROP_DIFF,,,,,,,,,,,,,,,
