sample_id,video_id,split,frame_width,frame_height,candidate,old_roi_clipped,old_clipped_fraction,corrected_roi_clipped,corrected_clipped_fraction,roi_x1,roi_y1,roi_x2,roi_y2,stored_roi_matches_corrected,flag_changed
train_d_438_t1p0,d_438,train,720,1280,raw,False,0.0,False,0.0,323,283,576,609,True,False
train_d_438_t1p0,d_438,train,720,1280,m05,True,0.0,False,0.0,310,266,589,626,True,True
train_d_438_t1p0,d_438,train,720,1280,m10,True,0.0,False,0.0,297,250,602,642,True,True
train_d_438_t1p0,d_438,train,720,1280,m15,True,0.0,False,0.0,285,234,614,658,True,True
train_n_908_t1p0,n_908,train,720,1280,raw,False,0.0,False,0.0,202,246,426,581,True,False
train_n_908_t1p0,n_908,train,720,1280,m05,True,0.0,False,0.0,190,229,438,598,True,True
train_n_908_t1p0,n_908,train,720,1280,m10,True,0.0,False,0.0,179,212,449,615,True,True
train_n_908_t1p0,n_908,train,720,1280,m15,True,0.0,False,0.0,168,195,460,632,True,True
val_d_796_t1p0,d_796,val,720,1280,raw,False,0.0,False,0.0,202,264,499,669,True,False
val_d_796_t1p0,d_796,val,720,1280,m05,True,0.0,False,0.0,187,243,514,690,True,True
val_d_796_t1p0,d_796,val,720,1280,m10,True,0.0,False,0.0,172,223,529,710,True,True
val_d_796_t1p0,d_796,val,720,1280,m15,True,0.0,False,0.0,157,203,544,730,True,True
train_d_438_t3p0,d_438,train,720,1280,raw,False,0.0,False,0.0,328,283,591,617,True,False
train_d_438_t3p0,d_438,train,720,1280,m05,True,0.0,False,0.0,314,266,605,634,True,True
train_d_438_t3p0,d_438,train,720,1280,m10,True,0.0,False,0.0,301,249,618,651,True,True
train_d_438_t3p0,d_438,train,720,1280,m15,True,0.0,False,0.0,288,232,631,668,True,True
train_n_908_t3p0,n_908,train,720,1280,raw,False,0.0,False,0.0,202,255,445,590,True,False
train_n_908_t3p0,n_908,train,720,1280,m05,True,0.0,False,0.0,189,238,458,607,True,True
train_n_908_t3p0,n_908,train,720,1280,m10,True,0.0,False,0.0,177,221,470,624,True,True
train_n_908_t3p0,n_908,train,720,1280,m15,True,0.0,False,0.0,165,204,482,641,True,True
val_d_796_t3p0,d_796,val,720,1280,raw,False,0.0,False,0.0,200,257,494,672,True,False
val_d_796_t3p0,d_796,val,720,1280,m05,True,0.0,False,0.0,185,236,509,693,True,True
val_d_796_t3p0,d_796,val,720,1280,m10,True,0.0,False,0.0,170,215,524,714,True,True
val_d_796_t3p0,d_796,val,720,1280,m15,True,0.0,False,0.0,155,194,539,735,True,True
val_n_835_t3p0,n_835,val,720,1280,raw,False,0.0,False,0.0,258,640,442,883,True,False
val_n_835_t3p0,n_835,val,720,1280,m05,True,0.0,False,0.0,248,627,452,896,True,True
val_n_835_t3p0,n_835,val,720,1280,m10,True,0.0,False,0.0,239,615,461,908,True,True
val_n_835_t3p0,n_835,val,720,1280,m15,True,0.0,False,0.0,230,603,470,920,True,True
train_d_438_t5p0,d_438,train,720,1280,raw,False,0.0,False,0.0,332,274,590,611,True,False
train_d_438_t5p0,d_438,train,720,1280,m05,True,0.0,False,0.0,319,257,603,628,True,True
train_d_438_t5p0,d_438,train,720,1280,m10,True,0.0,False,0.0,306,240,616,645,True,True
train_d_438_t5p0,d_438,train,720,1280,m15,True,0.0,False,0.0,293,223,629,662,True,True
train_n_908_t5p0,n_908,train,720,1280,raw,False,0.0,False,0.0,191,240,425,599,True,False
train_n_908_t5p0,n_908,train,720,1280,m05,True,0.0,False,0.0,179,222,437,617,True,True
train_n_908_t5p0,n_908,train,720,1280,m10,True,0.0,False,0.0,167,204,449,635,True,True
train_n_908_t5p0,n_908,train,720,1280,m15,True,0.0,False,0.0,155,186,461,653,True,True
val_d_796_t5p0,d_796,val,720,1280,raw,False,0.0,False,0.0,230,270,527,679,True,False
val_d_796_t5p0,d_796,val,720,1280,m05,True,0.0,False,0.0,215,249,542,700,True,True
val_d_796_t5p0,d_796,val,720,1280,m10,True,0.0,False,0.0,200,229,557,720,True,True
val_d_796_t5p0,d_796,val,720,1280,m15,True,0.0,False,0.0,185,208,572,741,True,True
val_n_835_t5p0,n_835,val,720,1280,raw,False,0.0,False,0.0,263,644,443,890,True,False
val_n_835_t5p0,n_835,val,720,1280,m05,True,0.0,False,0.0,254,631,452,903,True,True
val_n_835_t5p0,n_835,val,720,1280,m10,True,0.0,False,0.0,245,619,461,915,True,True
val_n_835_t5p0,n_835,val,720,1280,m15,True,0.0,False,0.0,236,607,470,927,True,True
train_d_438_t7p0,d_438,train,720,1280,raw,False,0.0,False,0.0,324,286,574,608,True,False
train_d_438_t7p0,d_438,train,720,1280,m05,True,0.0,False,0.0,311,269,587,625,True,True
train_d_438_t7p0,d_438,train,720,1280,m10,True,0.0,False,0.0,299,253,599,641,True,True
train_d_438_t7p0,d_438,train,720,1280,m15,True,0.0,False,0.0,286,237,612,657,True,True
train_n_908_t7p0,n_908,train,720,1280,raw,False,0.0,False,0.0,195,246,441,604,True,False
train_n_908_t7p0,n_908,train,720,1280,m05,True,0.0,False,0.0,182,228,454,622,True,True
