review_order,sheet_name,sample_id,video_id,split,label,timestamp_sec,selection_reason,source_image_path,raw_m05_ear_diff,raw_m10_ear_diff,raw_m15_ear_diff,raw_m05_mar_diff,raw_m10_mar_diff,raw_m15_mar_diff,raw_m05_landmark_diff,raw_m10_landmark_diff,raw_m15_landmark_diff,raw_m05_pitch_diff,raw_m10_pitch_diff,raw_m15_pitch_diff,raw_m05_yaw_diff,raw_m10_yaw_diff,raw_m15_yaw_diff,raw_m05_roll_diff,raw_m10_roll_diff,raw_m15_roll_diff
1,review_sheet_01_overview.jpg,train_d_25_t3p0,d_25,train,drowsy,3.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/01_train_d_25_t3p0.jpg,0.010477934524717458,0.01860251994733514,0.03790287103316273,0.030711406870866348,0.008897945272840825,0.010796899038137736,0.005025214195101727,0.008195835238526206,0.01897686285113997,0.5695055279835515,1.3833409575018152,3.2799857467216214,0.7585604930813759,0.6756551908350446,2.6650424355701716,0.12313834780860589,0.0005681418818710426,0.36207340975798274
2,review_sheet_01_overview.jpg,train_d_936_t1p0,d_936,train,drowsy,1.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/02_train_d_936_t1p0.jpg,0.018277287063911296,0.0014597564293863385,0.24082486584409013,0.009195898655370356,0.004834818832362343,0.042033264122221664,0.0052519689939975545,0.007470027809353262,0.07143487496046182,0.7902967172185811,1.1010492144714874,3.622771001898286,2.0873111698535354,1.624660647375265,18.458328831344687,0.5353175561103853,0.06018896766073567,3.8625471204459245
3,review_sheet_01_overview.jpg,train_n_883_t1p0,n_883,train,not_drowsy,1.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/03_train_n_883_t1p0.jpg,0.026104827481750692,0.08932480721627101,0.07769499981329708,0.11385554877689497,0.28014363449211344,0.1904725712105451,0.027593803081199374,0.067668185171506,0.13046648633966534,3.5832285786578666,0.7627712404344322,12.735132505510933,5.334440917876634,11.452788600217701,11.856139849218778,3.8535670887682727,5.105302324767223,15.30704082661768
4,review_sheet_01_overview.jpg,train_n_889_t9p0,n_889,train,not_drowsy,9.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/04_train_n_889_t9p0.jpg,0.1315022375965756,0.129669098333133,0.07073451572784473,0.009194654395053771,0.3100854611867865,0.33801848918707333,0.01882263302326731,0.06544745182352306,0.10919583868786034,0.8463208682072718,5.791827825522404,8.07723889125333,2.021399150297185,4.049375014548787,12.19051788994426,1.0066981576838714,0.9172269144216045,5.9520319523055605
5,review_sheet_01_overview.jpg,val_d_682_t1p0,d_682,val,drowsy,1.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/05_val_d_682_t1p0.jpg,0.06277490427883725,0.05751078123652276,0.02652517436357943,0.0019297952303245491,0.18091655472311588,0.21002526513275807,0.06289850028185433,0.06732206971219627,0.05642068716168601,6.721472373026245,6.4949204954886,6.091390473612705,8.751831177705185,5.331758060795465,2.7593068255359867,4.272952606308593,2.629989300870818,2.12398769147876
6,review_sheet_01_overview.jpg,val_d_852_t9p0,d_852,val,drowsy,9.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/06_val_d_852_t9p0.jpg,0.08047793811207721,0.0808215069651349,0.05167223088044881,0.17123561167157675,0.05287254539026015,0.0011451626196296028,0.0323342026293757,0.05964483724296896,0.06992466235877805,0.8970497945290958,0.12057583655300164,2.2922357761979413,6.430703781680506,2.682090828568164,4.284052656866265,3.551132268745107,5.910079810381376,5.649728183245088
7,review_sheet_01_overview.jpg,val_n_835_t5p0,n_835,val,not_drowsy,5.0,LOW_MULTI_METRIC_CHANGE;BALANCED_NORMAL_REFERENCE,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/07_val_n_835_t5p0.jpg,0.08196880499304743,0.08057115334486148,0.07097623212515691,0.15770453153640385,0.24356146613614937,0.24982479610757646,0.07341516870253442,0.08887290973676087,0.07160604976559512,7.734764087430847,15.149497074284938,11.645324332081742,2.564121316653342,0.4082454995223088,1.2457672889495086,8.141840953216303,10.625164774000694,10.601577254480077
8,review_sheet_02_eye_ear.jpg,train_n_278_t3p0,n_278,train,not_drowsy,3.0,EAR_CHANGE;score=0.515347;STEP2C_EXISTING_SELECTION,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/08_train_n_278_t3p0.jpg,0.020621127829733743,0.2833283740659502,0.3658249216528034,0.013451875391830043,0.11617470986727638,0.0628558149930876,0.013907207662485646,0.03819653691976182,0.14952239158028477,0.08102069919280552,6.255697836350038,24.925731645469455,0.32592332171662974,2.0738531924615984,19.958095233064228,1.8067910414739856,2.086145717896102,164.75643543176363
9,review_sheet_02_eye_ear.jpg,val_n_241_t3p0,n_241,val,not_drowsy,3.0,EAR_CHANGE;score=0.441627;STEP2C_EXISTING_SELECTION,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/09_val_n_241_t3p0.jpg,0.1349432708950865,0.21197501969661758,0.2882320719815089,0.2768012807585264,0.047284294677591404,0.33165499803767884,0.04350461523767783,0.11934455257393951,0.15339458374386067,8.433871641609471,5.989688200099778,41.12092131587576,3.3698468570011926,1.8811436251116334,4.33405434203371,7.17834203206715,8.529659137868919,145.15747553403656
10,review_sheet_02_eye_ear.jpg,val_n_835_t3p0,n_835,val,not_drowsy,3.0,EAR_CHANGE;score=0.269986;STEP2C_EXISTING_SELECTION,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/10_val_n_835_t3p0.jpg,0.05946099197854682,0.08422628335239479,0.1729541950461736,0.3391902659139178,0.3118985534646158,0.28478962921267614,0.06869121072452404,0.07134640477741093,0.09703137517652444,10.782306151428685,11.923315361544326,16.022151733739634,7.231863451868918,7.619100276659054,6.794018894929991,10.080335766703683,10.842531937760924,14.485884925952547
