review_order,sheet_name,sample_id,video_id,timestamp_sec,source_image_path,preferred_landmark_roi,eye_comment,mouth_comment,pose_comment,overall_comment
1,review_sheet_01_overview.jpg,train_d_25_t3p0,d_25,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/01_train_d_25_t3p0.jpg,,,,,
2,review_sheet_01_overview.jpg,train_d_936_t1p0,d_936,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/02_train_d_936_t1p0.jpg,,,,,
3,review_sheet_01_overview.jpg,train_n_883_t1p0,n_883,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/03_train_n_883_t1p0.jpg,,,,,
4,review_sheet_01_overview.jpg,train_n_889_t9p0,n_889,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/04_train_n_889_t9p0.jpg,,,,,
5,review_sheet_01_overview.jpg,val_d_682_t1p0,d_682,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/05_val_d_682_t1p0.jpg,,,,,
6,review_sheet_01_overview.jpg,val_d_852_t9p0,d_852,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/06_val_d_852_t9p0.jpg,,,,,
7,review_sheet_01_overview.jpg,val_n_835_t5p0,n_835,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/07_val_n_835_t5p0.jpg,,,,,
8,review_sheet_02_eye_ear.jpg,train_n_278_t3p0,n_278,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/08_train_n_278_t3p0.jpg,,,,,
9,review_sheet_02_eye_ear.jpg,val_n_241_t3p0,n_241,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/09_val_n_241_t3p0.jpg,,,,,
10,review_sheet_02_eye_ear.jpg,val_n_835_t3p0,n_835,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/10_val_n_835_t3p0.jpg,,,,,
11,review_sheet_02_eye_ear.jpg,train_d_620_t9p0,d_620,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/11_train_d_620_t9p0.jpg,,,,,
12,review_sheet_02_eye_ear.jpg,val_d_852_t1p0,d_852,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/12_val_d_852_t1p0.jpg,,,,,
13,review_sheet_02_eye_ear.jpg,train_d_75_t1p0,d_75,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/13_train_d_75_t1p0.jpg,,,,,
14,review_sheet_02_eye_ear.jpg,val_d_852_t3p0,d_852,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/14_val_d_852_t3p0.jpg,,,,,
15,review_sheet_03_mouth_mar.jpg,val_n_658_t5p0,n_658,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/15_val_n_658_t5p0.jpg,,,,,
16,review_sheet_03_mouth_mar.jpg,train_n_461_t9p0,n_461,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/16_train_n_461_t9p0.jpg,,,,,
17,review_sheet_03_mouth_mar.jpg,val_n_835_t7p0,n_835,7.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/17_val_n_835_t7p0.jpg,,,,,
18,review_sheet_03_mouth_mar.jpg,train_d_5_t3p0,d_5,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/18_train_d_5_t3p0.jpg,,,,,
19,review_sheet_03_mouth_mar.jpg,train_d_25_t5p0,d_25,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/19_train_d_25_t5p0.jpg,,,,,
20,review_sheet_03_mouth_mar.jpg,train_d_25_t1p0,d_25,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/20_train_d_25_t1p0.jpg,,,,,
21,review_sheet_03_mouth_mar.jpg,train_d_5_t5p0,d_5,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/21_train_d_5_t5p0.jpg,,,,,
22,review_sheet_04_pose_landmark.jpg,train_d_936_t9p0,d_936,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/22_train_d_936_t9p0.jpg,,,,,
23,review_sheet_04_pose_landmark.jpg,train_n_278_t9p0,n_278,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/23_train_n_278_t9p0.jpg,,,,,
24,review_sheet_04_pose_landmark.jpg,val_n_658_t9p0,n_658,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/24_val_n_658_t9p0.jpg,,,,,
25,review_sheet_04_pose_landmark.jpg,train_d_75_t9p0,d_75,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/25_train_d_75_t9p0.jpg,,,,,
26,review_sheet_04_pose_landmark.jpg,train_n_461_t1p0,n_461,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/26_train_n_461_t1p0.jpg,,,,,
27,review_sheet_04_pose_landmark.jpg,train_d_75_t3p0,d_75,3.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/27_train_d_75_t3p0.jpg,,,,,
28,review_sheet_04_pose_landmark.jpg,val_n_241_t5p0,n_241,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/28_val_n_241_t5p0.jpg,,,,,
29,review_sheet_05_difficult_cases.jpg,val_n_640_t1p0,n_640,1.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/29_val_n_640_t1p0.jpg,,,,,
30,review_sheet_05_difficult_cases.jpg,train_d_75_t7p0,d_75,7.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/30_train_d_75_t7p0.jpg,,,,,
31,review_sheet_05_difficult_cases.jpg,train_d_75_t5p0,d_75,5.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/31_train_d_75_t5p0.jpg,,,,,
32,review_sheet_05_difficult_cases.jpg,val_n_241_t9p0,n_241,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/32_val_n_241_t9p0.jpg,,,,,
33,review_sheet_05_difficult_cases.jpg,val_n_640_t7p0,n_640,7.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/33_val_n_640_t7p0.jpg,,,,,
34,review_sheet_05_difficult_cases.jpg,val_n_835_t9p0,n_835,9.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/34_val_n_835_t9p0.jpg,,,,,
35,review_sheet_05_difficult_cases.jpg,train_n_883_t7p0,n_883,7.0,outputs/preprocessing_v2/landmark_roi_margin_audit/review_pack/selected_images/35_train_n_883_t7p0.jpg,,,,,
