video_id,split,label,behavior_valid_count,behavior_missing_count,longest_missing_run,behavior_exclusion_reason,context_eligible,canonical_policy_hash,sequence_missing_policy_hash
d_242,train,drowsy,91,9,3,INSUFFICIENT_VALID_BEHAVIOR,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_244,train,drowsy,64,36,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_245,train,drowsy,76,24,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_247,train,drowsy,56,44,19,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_248,train,drowsy,48,52,18,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_250,train,drowsy,83,17,17,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_251,val,drowsy,46,54,15,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_252,val,drowsy,92,8,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_254,train,drowsy,80,20,14,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_255,train,drowsy,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_257,train,drowsy,83,17,17,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_262,train,drowsy,81,19,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_263,train,drowsy,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_264,train,drowsy,87,13,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_266,train,drowsy,71,29,15,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_273,train,drowsy,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_285,train,drowsy,80,20,20,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_287,train,drowsy,91,9,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_292,train,drowsy,89,11,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_293,val,drowsy,94,6,3,INSUFFICIENT_VALID_BEHAVIOR,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_296,train,drowsy,53,47,18,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_309,train,drowsy,90,10,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_314,val,drowsy,87,13,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_318,train,drowsy,86,14,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_321,train,drowsy,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_329,train,drowsy,70,30,19,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_330,train,drowsy,27,73,50,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_331,val,drowsy,78,22,22,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_337,train,drowsy,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_339,train,drowsy,93,7,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_340,train,drowsy,74,26,23,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_344,train,drowsy,76,24,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_345,train,drowsy,59,41,18,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_349,val,drowsy,76,24,21,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_384,val,drowsy,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_440,train,drowsy,93,7,5,INSUFFICIENT_VALID_BEHAVIOR,True,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_49,train,drowsy,56,44,33,BOTH_BEHAVIOR_LIMITS_EXCEEDED,False,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
