video_id,split,label,context_missing_count,longest_context_missing_run,context_exclusion_reason,canonical_policy_hash,sequence_missing_policy_hash
d_244,train,drowsy,13,4,TOO_MANY_CONTEXT_MISSING,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_245,train,drowsy,10,3,TOO_MANY_CONTEXT_MISSING,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_247,train,drowsy,12,7,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_248,train,drowsy,16,14,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_250,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_251,val,drowsy,17,5,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_257,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_285,train,drowsy,6,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_296,train,drowsy,16,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_329,train,drowsy,12,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_330,train,drowsy,23,16,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_331,val,drowsy,7,7,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_340,train,drowsy,8,7,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_345,train,drowsy,13,6,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_349,val,drowsy,7,6,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_49,train,drowsy,13,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_50,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_51,val,drowsy,14,8,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_52,train,drowsy,14,10,BOTH_CONTEXT_LIMITS_EXCEEDED,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_584,train,drowsy,5,5,CONTEXT_RUN_TOO_LONG,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
