video_id,split,label,context_imputed_count,context_missing_original_count,behavior_valid_count,behavior_missing_count,longest_behavior_missing_run,behavior_exclusion_reason
d_242,train,drowsy,3,3,91,9,3,INSUFFICIENT_VALID_BEHAVIOR
d_252,val,drowsy,2,2,92,8,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_254,train,drowsy,5,5,80,20,14,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_255,train,drowsy,3,3,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_262,train,drowsy,3,3,81,19,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_263,train,drowsy,3,3,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_264,train,drowsy,4,4,87,13,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_266,train,drowsy,7,7,71,29,15,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_273,train,drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_287,train,drowsy,3,3,91,9,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_292,train,drowsy,3,3,89,11,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_293,val,drowsy,3,3,94,6,3,INSUFFICIENT_VALID_BEHAVIOR
d_309,train,drowsy,3,3,90,10,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_314,val,drowsy,4,4,87,13,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_318,train,drowsy,5,5,86,14,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_321,train,drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_337,train,drowsy,3,3,90,10,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_339,train,drowsy,2,2,93,7,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_344,train,drowsy,7,7,76,24,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_384,val,drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_440,train,drowsy,2,2,93,7,5,INSUFFICIENT_VALID_BEHAVIOR
d_495,train,drowsy,2,2,94,6,2,INSUFFICIENT_VALID_BEHAVIOR
d_527,train,drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_545,train,drowsy,3,3,94,6,5,INSUFFICIENT_VALID_BEHAVIOR
d_55,val,drowsy,4,4,88,12,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_555,train,drowsy,4,4,92,8,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_62,train,drowsy,6,6,82,18,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_65,train,drowsy,2,2,93,7,3,INSUFFICIENT_VALID_BEHAVIOR
d_66,train,drowsy,2,2,94,6,4,INSUFFICIENT_VALID_BEHAVIOR
d_698,train,drowsy,3,3,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_73,train,drowsy,1,1,89,11,3,INSUFFICIENT_VALID_BEHAVIOR
d_762,train,drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_772,val,drowsy,4,4,87,13,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_775,val,drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_778,train,drowsy,3,3,89,11,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_781,train,drowsy,3,3,91,9,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_79,train,drowsy,3,3,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_826,val,drowsy,2,2,94,6,5,INSUFFICIENT_VALID_BEHAVIOR
d_843,val,drowsy,5,5,84,16,4,INSUFFICIENT_VALID_BEHAVIOR
d_849,val,drowsy,2,2,92,8,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_851,train,drowsy,4,4,88,12,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_853,train,drowsy,4,4,94,6,2,INSUFFICIENT_VALID_BEHAVIOR
d_860,train,drowsy,5,5,83,17,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_861,train,drowsy,5,5,86,14,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_863,train,drowsy,3,3,92,8,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_867,train,drowsy,4,4,90,10,4,INSUFFICIENT_VALID_BEHAVIOR
d_869,train,drowsy,4,4,85,15,3,INSUFFICIENT_VALID_BEHAVIOR
d_870,train,drowsy,6,6,81,19,5,INSUFFICIENT_VALID_BEHAVIOR
d_871,train,drowsy,3,3,94,6,3,INSUFFICIENT_VALID_BEHAVIOR
d_872,train,drowsy,7,7,75,25,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_873,train,drowsy,6,6,83,17,10,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_874,train,drowsy,3,3,92,8,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_875,train,drowsy,6,6,83,17,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_876,train,drowsy,2,2,94,6,2,INSUFFICIENT_VALID_BEHAVIOR
d_880,train,drowsy,5,5,85,15,4,INSUFFICIENT_VALID_BEHAVIOR
d_882,train,drowsy,2,2,93,7,4,INSUFFICIENT_VALID_BEHAVIOR
d_885,train,drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_886,train,drowsy,3,3,90,10,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_888,train,drowsy,4,4,85,15,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_893,train,drowsy,5,5,86,14,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_895,val,drowsy,4,4,90,10,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_896,val,drowsy,3,3,91,9,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_900,train,drowsy,4,4,88,12,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
d_94,train,drowsy,4,4,86,14,4,INSUFFICIENT_VALID_BEHAVIOR
n_1061,train,not_drowsy,7,7,80,20,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_111,train,not_drowsy,3,3,89,11,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_119,val,not_drowsy,4,4,89,11,11,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_128,train,not_drowsy,5,5,80,20,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_140,val,not_drowsy,2,2,94,6,4,INSUFFICIENT_VALID_BEHAVIOR
n_144,val,not_drowsy,2,2,91,9,4,INSUFFICIENT_VALID_BEHAVIOR
n_145,train,not_drowsy,2,2,91,9,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_25,train,not_drowsy,2,2,90,10,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_253,train,not_drowsy,6,6,74,26,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_255,train,not_drowsy,2,2,94,6,4,INSUFFICIENT_VALID_BEHAVIOR
n_26,train,not_drowsy,2,2,92,8,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_260,train,not_drowsy,2,2,94,6,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_262,train,not_drowsy,7,7,83,17,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_263,train,not_drowsy,3,3,91,9,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_264,train,not_drowsy,5,5,86,14,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_265,train,not_drowsy,8,8,73,27,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_269,train,not_drowsy,2,2,93,7,5,INSUFFICIENT_VALID_BEHAVIOR
n_273,train,not_drowsy,7,7,78,22,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_274,train,not_drowsy,7,7,80,20,13,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_275,train,not_drowsy,4,4,90,10,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_279,train,not_drowsy,2,2,93,7,7,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_281,train,not_drowsy,4,4,88,12,12,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_282,val,not_drowsy,3,3,91,9,9,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_285,train,not_drowsy,5,5,85,15,8,BOTH_BEHAVIOR_LIMITS_EXCEEDED
n_291,train,not_drowsy,2,2,94,6,5,INSUFFICIENT_VALID_BEHAVIOR
n_292,train,not_drowsy,2,2,93,7,6,BOTH_BEHAVIOR_LIMITS_EXCEEDED
