scope,group_name,status,video_count,fraction
overall,all,BOTH,1520,0.8621667612024957
overall,all,CONTEXT_ONLY,157,0.0890527509926262
overall,all,BEHAVIOR_ONLY,0,0.0
overall,all,NEITHER,86,0.04878048780487805
split,train,BOTH,1256,0.8650137741046832
split,train,CONTEXT_ONLY,126,0.08677685950413223
split,train,BEHAVIOR_ONLY,0,0.0
split,train,NEITHER,70,0.048209366391184574
split,val,BOTH,264,0.8488745980707395
split,val,CONTEXT_ONLY,31,0.09967845659163987
split,val,BEHAVIOR_ONLY,0,0.0
split,val,NEITHER,16,0.05144694533762058
label,drowsy,BOTH,736,0.887816646562123
label,drowsy,CONTEXT_ONLY,64,0.07720144752714113
label,drowsy,BEHAVIOR_ONLY,0,0.0
label,drowsy,NEITHER,29,0.03498190591073583
label,not_drowsy,BOTH,784,0.8394004282655246
label,not_drowsy,CONTEXT_ONLY,93,0.09957173447537473
label,not_drowsy,BEHAVIOR_ONLY,0,0.0
label,not_drowsy,NEITHER,57,0.061027837259100645
split_x_label,train/drowsy,BOTH,606,0.8872620790629575
split_x_label,train/drowsy,CONTEXT_ONLY,52,0.07613469985358712
split_x_label,train/drowsy,BEHAVIOR_ONLY,0,0.0
split_x_label,train/drowsy,NEITHER,25,0.036603221083455345
split_x_label,train/not_drowsy,BOTH,650,0.8452535760728218
split_x_label,train/not_drowsy,CONTEXT_ONLY,74,0.09622886866059818
split_x_label,train/not_drowsy,BEHAVIOR_ONLY,0,0.0
split_x_label,train/not_drowsy,NEITHER,45,0.05851755526657997
split_x_label,val/drowsy,BOTH,130,0.8904109589041096
split_x_label,val/drowsy,CONTEXT_ONLY,12,0.0821917808219178
split_x_label,val/drowsy,BEHAVIOR_ONLY,0,0.0
split_x_label,val/drowsy,NEITHER,4,0.0273972602739726
split_x_label,val/not_drowsy,BOTH,134,0.8121212121212121
split_x_label,val/not_drowsy,CONTEXT_ONLY,19,0.11515151515151516
split_x_label,val/not_drowsy,BEHAVIOR_ONLY,0,0.0
split_x_label,val/not_drowsy,NEITHER,12,0.07272727272727272
