video_id,split,label,context_eligible_frozen,behavior_eligible_frozen,context_bundle_exists,behavior_bundle_exists,context_sequence_rows,behavior_sequence_rows,context_status,behavior_status,cross_branch_status,canonical_policy_hash,sequence_missing_policy_hash
d_10,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_100,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_101,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_102,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_103,val,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_104,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_105,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_106,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_107,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_108,val,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_109,val,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_11,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_110,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_111,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_112,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_113,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_114,val,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_116,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_117,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_118,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_12,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_120,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_121,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_122,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_123,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_124,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_125,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_126,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_127,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_128,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_129,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_13,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_132,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_133,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_135,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
d_136,train,drowsy,True,True,True,True,32,100,COMPLETE,COMPLETE,BOTH,29f74d12e4a522352868297c1661224c5d444f2829f1cae6866c8b2d1968e721,f382c7900331c0be2f56b95f8fd95ed77f86dd5d4b06239da078e03d180eee4d
