video_id,split,label,context_exclusion_reason,behavior_exclusion_reason,context_missing_count,context_longest_run,behavior_valid_count,behavior_longest_run
d_244,train,drowsy,TOO_MANY_CONTEXT_MISSING,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,4,64,13
d_245,train,drowsy,TOO_MANY_CONTEXT_MISSING,BOTH_BEHAVIOR_LIMITS_EXCEEDED,10,3,76,9
d_247,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,12,7,56,19
d_248,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,14,48,18
d_250,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,83,17
d_251,val,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,17,5,46,15
d_257,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,83,17
d_285,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,6,6,80,20
d_296,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,10,53,18
d_329,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,12,6,70,19
d_330,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,23,16,27,50
d_331,val,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,7,7,78,22
d_340,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,7,74,23
d_345,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,6,59,18
d_349,val,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,7,6,76,21
d_49,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,10,56,33
d_50,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,85,15
d_51,val,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,14,8,60,27
d_52,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,14,10,53,32
d_584,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,85,11
d_61,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,15,5,62,15
d_72,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,5,63,17
d_74,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,30,29,5,92
d_76,train,drowsy,TOO_MANY_CONTEXT_MISSING,INSUFFICIENT_VALID_BEHAVIOR,9,2,81,5
d_787,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,84,16
d_840,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,83,17
d_841,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,80,17
d_866,train,drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,11,55,18
d_884,train,drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,5,76,16
n_112,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,13,61,37
n_115,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,11,6,62,12
n_136,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,18,9,42,30
n_138,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,9,54,20
n_141,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,10,10,68,32
n_142,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,7,77,15
n_245,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,8,60,26
n_246,train,not_drowsy,NO_VALID_CONTEXT,NO_VALID_BEHAVIOR,32,32,0,100
n_247,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,24,15,25,47
n_248,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,7,60,21
n_249,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,19,13,40,20
n_250,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,28,13,12,42
n_254,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,15,5,56,16
n_257,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,10,9,71,28
n_259,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,17,6,45,17
n_266,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,11,6,63,21
n_283,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,5,70,16
n_284,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,16,8,49,26
n_286,train,not_drowsy,TOO_MANY_CONTEXT_MISSING,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,4,68,11
n_288,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,14,5,56,15
n_312,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,11,10,68,31
n_314,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,5,79,13
n_318,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,11,5,65,15
n_330,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,18,10,40,33
n_339,val,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,8,6,77,18
n_348,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,9,7,72,20
n_366,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,14,5,55,16
n_370,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,12,12,64,36
n_388,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,5,57,18
n_389,val,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,26,26,17,83
n_390,train,not_drowsy,TOO_MANY_CONTEXT_MISSING,BOTH_BEHAVIOR_LIMITS_EXCEEDED,10,4,72,11
n_405,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,13,12,62,16
n_407,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,85,8
n_531,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,15,11,51,37
n_532,train,not_drowsy,BOTH_CONTEXT_LIMITS_EXCEEDED,BOTH_BEHAVIOR_LIMITS_EXCEEDED,22,15,33,48
n_533,train,not_drowsy,CONTEXT_RUN_TOO_LONG,BOTH_BEHAVIOR_LIMITS_EXCEEDED,5,5,84,16
